Kingdom,Phylum,Class,Order,Family,Genus,Species,Gen_Species,IUCN_Status,Year Assessed
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Symphyllia,recta,Symphyllia recta,LC,2008
ANIMALIA,Cnidaria,Anthozoa,,MUSSIDAE,Symphyllia,valenciennesi,Symphyllia valenciennesi,LC,2014
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Tubastrea,aurea,Tubastrea aurea,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,bifrons,Turbinaria bifrons,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,conspicua,Turbinaria conspicua,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,heronensis,Turbinaria heronensis,NA,NA
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,mesenterina,Turbinaria mesenterina,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,patula,Turbinaria patula,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,peltata,Turbinaria peltata,VU,2008
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,radicalis,Turbinaria radicalis,NT,2008
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,reniformis,Turbinaria reniformis,VU,2014
ANIMALIA,Cnidaria,Anthozoa,,DENDROPHYLLIIDAE,Turbinaria,stellulata,Turbinaria stellulata,VU,2014
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,LEGUMINOSAE,Canavalia,sericea,Canavalia sericea,LC,2012
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,LEGUMINOSAE,Erythrina,variegata,Erythrina variegata,LC,2012
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Excoecaria,agallocha,Excoecaria agallocha,LC,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,LYTHRACEAE,Pemphis,acidula,Pemphis acidula,LC,2010
PLANTAE,,,,,,,Abutilon indicum,NA,
PLANTAE,,,,,,,Achyranthes aspera var. velutina ,NA,
PLANTAE,,,,,,,Acrostichum aureum,NA,
PLANTAE,,,,,,,Arytera neoebudensis ,NA,
PLANTAE,,,,,,,Bikkia tetrandra,NA,
PLANTAE,,,,,,,Boerhavia diffusa ,NA,
PLANTAE,,,,,,,Casuarina equisetifolia subsp. incana ,NA,
PLANTAE,,,,,,,Cenchrus caliculatus ,NA,
PLANTAE,,,,,,,Chloris barbata ,NA,
PLANTAE,,,,,,,Cocos nucifera,NA,
PLANTAE,,,,,,,Colubrina asiatica var. asiatica ,NA,
PLANTAE,,,,,,,Eugenia aff. noumeensis,NA,
PLANTAE,,,,,,,Ficus spp.,NA,
PLANTAE,,,,,,,Heliotropium foertherianum,NA,
PLANTAE,,,,,,,Hibiscus tiliaceus ,NA,
PLANTAE,,,,,,,Ipomoea pes-caprae subsp. brasiliensis ,NA,
PLANTAE,,,,,,,Lepturus repens,NA,
PLANTAE,,,,,,,Leucaena leucocephala,NA,
PLANTAE,,,,,,,Microsorum grossum ,NA,
PLANTAE,,,,,,,Nephrolepis brownii ,NA,
PLANTAE,,,,,,,Pandanus tectorius ,NA,
PLANTAE,,,,,,,Paspalum vaginatum ,NA,
PLANTAE,,,,,,,Pipturus argenteus var. lanosus ,NA,
PLANTAE,,,,,,,Pisonia grandis,NA,
PLANTAE,,,,,,,Portulaca lutea,NA,
PLANTAE,,,,,,,Portulaca sp.,NA,
PLANTAE,,,,,,,Rivina humilis,NA,
PLANTAE,,,,,,,Scaevola taccada var. taccada,NA,
PLANTAE,,,,,,,Schleinitzia insularum,NA,
PLANTAE,,,,,,,Senna glanduligera,NA,
PLANTAE,,,,,,,Sesuvium portulacastrum,NA,
PLANTAE,,,,,,,Stenotaphrum micranthum ,NA,
PLANTAE,,,,,,,Suriana maritima,NA,
PLANTAE,,,,,,,Thuarea involuta ,NA,
PLANTAE,,,,,,,Urochloa subquadripara ,NA,
PLANTAE,,,,,,,Wollastonia lifuana,NA,
